Rk,Player,Pos,Team,Gms,TFL,Sacks,QB Hits,Int,Fum Rec,Safeties,Def TD,Return TD,Pts Allowed,PPG,Fantasy Points
1,Arizona Cardinals,DST,ARI,16,110,44,103,17,12,2,4,1,362,7.5,120
2,Kansas City Chiefs,DST,KC,16,70,41,77,18,11,1,3,2,311,7.4,118
3,New York Giants,DST,NYG,16,85,43,86,17,11,0,4,0,284,7,112
4,Minnesota Vikings,DST,MIN,16,70,41,115,15,10,1,3,2,307,6.9,111
5,Houston Texans,DST,HOU,16,78,44,88,15,12,1,3,1,328,6.9,110
6,Denver Broncos,DST,DEN,16,55,41,110,16,12,0,4,0,297,6.8,109
7,Philadelphia Eagles,DST,PHI,16,79,38,87,15,11,1,3,2,331,6.8,109
8,Los Angeles Chargers,DST,LAC,16,99,40,87,16,12,1,4,0,423,6.8,108
9,Seattle Seahawks,DST,SEA,16,84,43,94,14,10,1,3,1,292,6.6,105
10,Carolina Panthers,DST,CAR,16,90,40,92,17,12,1,3,0,402,6.5,104
11,Baltimore Ravens,DST,BAL,16,77,36,81,15,11,0,3,1,321,6.3,101
12,New England Patriots,DST,NE,16,58,38,71,14,10,3,3,1,250,6.2,100
13,Tampa Bay Buccaneers,DST,TB,16,78,39,80,15,12,1,3,0,369,6.2,99
14,Jacksonville Jaguars,DST,JAX,16,86,38,77,13,10,0,3,1,400,6.1,98
15,Miami Dolphins,DST,MIA,16,83,34,96,15,9,0,3,1,380,6.1,97
16,Pittsburgh Steelers,DST,PIT,16,86,38,90,14,11,1,2,1,327,5.9,95
17,Los Angeles Rams,DST,LAR,16,96,41,101,13,9,0,2,1,394,5.9,94
18,Oakland Raiders,DST,OAK,16,59,35,78,15,11,0,3,0,385,5.9,94
19,Buffalo Bills,DST,BUF,16,78,39,78,14,8,0,2,1,378,5.8,93
20,Green Bay Packers,DST,GB,16,80,36,83,15,8,0,2,1,388,5.8,92
21,Washington Redskins,DST,WAS,16,78,37,85,13,11,0,2,1,383,5.8,92
22,Atlanta Falcons,DST,ATL,16,70,35,78,14,10,0,3,0,406,5.7,91
23,Cincinnati Bengals,DST,CIN,16,69,36,99,17,7,1,2,0,315,5.6,89
24,New Orleans Saints,DST,NO,16,71,34,103,13,11,1,2,1,454,5.6,89
25,Tennessee Titans,DST,TEN,16,70,39,93,13,8,0,2,0,378,5.3,85
26,San Francisco 49ers,DST,SF,16,70,34,78,11,10,1,2,1,480,5.2,84
27,Detroit Lions,DST,DET,16,60,34,67,11,8,2,2,1,358,5.1,82
28,Dallas Cowboys,DST,DAL,16,87,35,89,11,11,0,2,0,306,5,80
29,Chicago Bears,DST,CHI,16,68,36,71,9,7,1,2,1,399,4.9,79
30,New York Jets,DST,NYJ,16,79,33,82,9,9,0,2,1,409,4.9,78
31,Indianapolis Colts,DST,IND,16,54,34,79,11,10,0,2,0,392,4.9,78
32,Cleveland Browns,DST,CLE,16,54,32,81,12,7,0,2,0,452,4.7,75
