Rk,Player,Pos,Team,Gms,Att,Yds,Yds/Att,TD,Targets,Rec,Yds,TD,Fum,Lost,PPG,Fantasy Points
1,David Johnson,RB,ARI,16,285,"1,200",4.2,12,92.3,71,709,4,3,3,17.6,280.9
2,Le'Veon Bell,RB,PIT,16,289,"1,324",4.6,9,113.2,77,632,2,3,3,16,255.6
3,LeSean McCoy,RB,BUF,16,236,"1,139",4.8,9,62.6,46,349,2,2,2,13.2,210.8
4,Devonta Freeman,RB,ATL,16,219,966,4.4,9,72.9,54,461,3,2,2,13.2,210.7
5,Melvin Gordon,RB,LAC,16,269,"1,091",4.1,8,66.6,45,380,2,3,3,12.6,201.1
6,Jordan Howard,RB,CHI,16,275,"1,280",4.7,7,45.2,33,282,1,2,2,12.5,200.2
7,Jay Ajayi,RB,MIA,16,269,"1,213",4.5,8,48.3,35,249,1,2,2,12.3,196.2
8,Todd Gurley,RB,LAR,16,281,"1,078",3.8,8,54.4,40,310,1,2,2,11.8,188.8
9,DeMarco Murray,RB,TEN,16,246,"1,056",4.3,7,59.8,46,331,2,2,2,11.8,188.7
10,Isaiah Crowell,RB,CLE,16,224,978,4.4,7,54.4,37,299,1,2,2,10.7,171.7
11,Leonard Fournette,RB,JAX,16,243,"1,034",4.3,7,45.6,31,225,1,2,2,10.6,169.9
12,Lamar Miller,RB,HOU,16,254,"1,047",4.1,6,51.4,37,263,1,2,2,10.6,169
13,Dalvin Cook,RB,MIN,16,205,861,4.2,7,56.2,38,286,2,2,2,10.3,164.7
14,Ezekiel Elliott,RB,DAL,16,201,961,4.8,7,33.3,25,236,1,2,2,10.2,163.7
15,Christian McCaffrey,RB,CAR,16,165,719,4.4,5,70,50,426,2,1,1,9.7,154.5
16,Ty Montgomery,RB,GB,16,165,765,4.6,5,64.3,48,379,2,1,1,9.6,154.4
17,Marshawn Lynch,RB,OAK,16,200,839,4.2,8,38.9,28,199,1,2,2,9.6,153.8
18,Joe Mixon,RB,CIN,16,190,803,4.2,7,51.1,36,293,1,2,2,9.6,153.6
19,Mark Ingram,RB,NO,16,173,801,4.6,5,57.1,42,302,2,2,2,9.3,148.3
20,Carlos Hyde,RB,SF,16,218,936,4.3,6,37.8,27,179,1,3,3,9.2,147.5
21,Bilal Powell,RB,NYJ,16,169,744,4.4,4,71.1,49,371,2,2,2,9,143.5
22,Frank Gore,RB,IND,16,209,800,3.8,5,41.5,31,225,2,2,2,8.8,140.5
23,Ameer Abdullah,RB,DET,16,183,779,4.3,4,43.5,32,265,2,2,2,8.5,136.4
24,Paul Perkins,RB,NYG,16,197,792,4,5,36.3,25,215,1,1,1,8.4,134.7
25,CJ Anderson,RB,DEN,16,185,771,4.2,5,38.1,27,218,1,1,1,8.3,132.9
26,Tevin Coleman,RB,ATL,16,135,600,4.4,5,44.2,33,328,2,1,1,8.3,132.8
27,Mike Gillislee,RB,NE,16,167,764,4.6,7,18.8,14,104,1,1,1,8.3,132.8
28,Terrance West,RB,BAL,16,198,793,4,5,40.3,28,196,1,2,2,8.2,130.9
29,Kareem Hunt,RB,KC,16,165,697,4.2,5,46.5,33,257,1,1,1,8.1,129.4
30,Doug Martin,RB,TB,16,187,757,4,5,32.1,22,173,1,2,2,7.8,125
31,Eddie Lacy,RB,SEA,16,163,708,4.3,5,25.5,19,154,1,1,1,7.5,120.2
32,Rob Kelley,RB,WAS,16,177,739,4.2,6,22.4,15,111,0,1,1,7.4,119
33,LeGarrette Blount,RB,PHI,16,168,661,3.9,7,12.5,9,56,0,1,1,7,111.7
34,Danny Woodhead,RB,BAL,16,87,357,4.1,2,84.2,61,479,3,1,1,7,111.6
35,Derrick Henry,RB,TEN,16,142,624,4.4,5,25.3,17,150,1,1,1,7,111.4
36,Duke Johnson,RB,CLE,16,88,379,4.3,2,76.2,56,480,2,1,1,6.7,107.9
37,Jonathan Stewart,RB,CAR,16,165,676,4.1,6,15.3,11,81,0,2,2,6.7,107.7
38,Matt Forte,RB,NYJ,16,139,541,3.9,4,46.4,32,252,1,1,1,6.7,107.3
39,Adrian Peterson,RB,NO,16,149,618,4.1,6,27.3,21,146,0,3,3,6.6,106.4
40,Spencer Ware,RB,KC,16,139,591,4.3,4,32,23,200,1,2,2,6.6,105.1
41,Theo Riddick,RB,DET,16,68,261,3.8,2,93.2,63,499,3,1,1,6.5,104
42,Darren Sproles,RB,PHI,16,83,368,4.4,2,67.7,47,365,2,1,1,6,95.3
43,Darren McFadden,RB,DAL,16,133,569,4.3,4,29.8,21,170,0,2,2,5.9,93.9
44,James White,RB,NE,16,55,224,4.1,2,71.1,49,431,3,1,1,5.8,93.5
45,Giovani Bernard,RB,CIN,16,98,405,4.1,2,49.6,37,315,1,2,2,5.4,86
46,Jamaal Charles,RB,DEN,16,101,439,4.3,3,41.4,28,232,1,3,3,5.3,85.1
47,Chris Thompson,RB,WAS,16,58,269,4.6,2,65.8,48,362,2,1,1,5.3,85.1
48,Thomas Rawls,RB,SEA,16,125,530,4.2,4,15.7,12,88,0,1,1,5.2,83.8
49,CJ Prosise,RB,SEA,16,68,315,4.6,2,49.8,38,345,1,1,1,5.1,82
50,Samaje Perine,RB,WAS,16,117,486,4.2,4,20,15,114,0,1,1,5.1,82
