Rk,Player,Pos,Team,Gms,Targets,Rec,Pct,Yds,TD,Long,Yds/Target,Yds/Rec,Rush,Yds,TD,Fum,Lost,PPG,Fantasy Points
1,Rob Gronkowski,TE,NE,16,114.6,67,58.3,999,8,0,8.7,14.9,0,0,0,0,0,9.2,147.9
2,Greg Olsen,TE,CAR,16,140,80,57.1,"1,064",6,0,7.6,13.3,0,0,0,0,0,8.9,142.4
3,Jordan Reed,TE,WAS,16,122,83,68,925,6,0,7.6,11.1,0,0,0,0,0,8,128.5
4,Travis Kelce,TE,KC,16,115.4,83,72.2,"1,041",4,0,9.1,12.5,0,0,0,0,0,8,128.1
5,Jimmy Graham,TE,SEA,16,89.7,61,67.8,769,6,0,8.5,12.6,0,0,0,0,0,7.1,112.9
6,Kyle Rudolph,TE,MIN,16,133.8,76,56.7,740,6,0,5.5,9.7,0,0,0,0,0,6.9,110
7,Zach Ertz,TE,PHI,16,128,74,57.8,771,4,0,6,10.4,0,0,0,0,0,6.3,101.1
8,Delanie Walker,TE,TEN,16,81.6,60,73.2,705,5,0,8.6,11.8,0,0,0,0,0,6.3,100.5
9,Hunter Henry,TE,LAC,16,73,50,68.5,596,6,0,8.2,11.9,0,0,0,0,0,6,95.6
10,Eric Ebron,TE,DET,16,84.9,62,72.9,700,4,0,8.2,11.3,0,0,0,0,0,5.9,94
11,Tyler Eifert,TE,CIN,16,81.5,57,69.5,620,5,0,7.6,10.9,0,0,0,0,0,5.8,92
12,Martellus Bennett,TE,GB,16,95.7,58,60.4,611,5,0,6.4,10.5,0,0,0,0,0,5.7,91.1
13,Austin Hooper,TE,ATL,16,63.4,48,76.2,570,5,0,9,11.9,0,0,0,0,0,5.4,87
14,Coby Fleener,TE,NO,16,63.5,47,74.6,569,5,0,9,12.1,0,0,0,0,0,5.4,86.9
15,Jason Witten,TE,DAL,16,108.5,62,57.4,629,4,0,5.8,10.1,0,0,0,0,0,5.4,86.9
16,Jack Doyle,TE,IND,16,92.8,58,62.4,564,5,0,6.1,9.7,0,0,0,0,0,5.4,86.4
17,Cameron Brate,TE,TB,16,73,50,68.5,550,5,0,7.5,11,0,0,0,0,0,5.3,85
